student_id,course_code,marks_obtained,exam_date
CS2024006,CS101,88,2024-09-16
CS2024006,CS201,90,2024-10-11
CS2024006,EE101,92,2024-11-13
CS2024006,CS101,93,2024-12-16
CS2024006,CS201,95,2025-01-11
CS2024006,EE101,97,2025-01-13
CS2024007,CS101,78,2024-09-16
CS2024007,CS201,80,2024-10-11
CS2024007,EE101,82,2024-11-13
CS2024007,CS101,84,2024-12-16
CS2024007,CS201,86,2025-01-11
CS2024007,EE101,88,2025-01-13
CS2024008,CS101,65,2024-09-16
CS2024008,CS201,67,2024-10-11
CS2024008,EE101,69,2024-11-13
CS2024008,CS101,71,2024-12-16
CS2024008,CS201,73,2025-01-11
CS2024008,EE101,75,2025-01-13
CS2024009,CS101,45,2024-09-16
CS2024009,CS201,47,2024-10-11
CS2024009,EE101,49,2024-11-13
CS2024009,CS101,51,2024-12-16
CS2024009,CS201,53,2025-01-11
CS2024009,EE101,55,2025-01-13
CS2024010,CS101,25,2024-09-16
CS2024010,CS201,27,2024-10-11
CS2024010,EE101,29,2024-11-13
CS2024010,CS101,31,2024-12-16
CS2024010,CS201,33,2025-01-11
CS2024010,EE101,35,2025-01-13
