student_id,course_code,marks_obtained,exam_date
EE2024006,CS101,92,2024-09-18
EE2024006,CS201,94,2024-10-13
EE2024006,EE101,90,2024-11-15
EE2024006,CS101,96,2024-12-18
EE2024006,CS201,98,2025-01-13
EE2024006,EE101,99,2025-01-15
EE2024007,CS101,75,2024-09-18
EE2024007,CS201,77,2024-10-13
EE2024007,EE101,73,2024-11-15
EE2024007,CS101,79,2024-12-18
EE2024007,CS201,81,2025-01-13
EE2024007,EE101,83,2025-01-15
daksh123,CS101,60,2024-09-18
daksh123,CS201,62,2024-10-13
daksh123,EE101,58,2024-11-15
daksh123,CS101,64,2024-12-18
daksh123,CS201,66,2025-01-13
daksh123,EE101,68,2025-01-15
CS2025001,CS101,85,2024-09-18
CS2025001,CS201,87,2024-10-13
CS2025001,EE101,83,2024-11-15
CS2025001,CS101,89,2024-12-18
CS2025001,CS201,91,2025-01-13
CS2025001,EE101,93,2025-01-15
CS2025002,CS101,70,2024-09-18
CS2025002,CS201,72,2024-10-13
CS2025002,EE101,68,2024-11-15
CS2025002,CS101,74,2024-12-18
CS2025002,CS201,76,2025-01-13
CS2025002,EE101,78,2025-01-15
