student_id,course_code,marks_obtained,exam_date
CS2025003,CS101,80,2024-09-19
CS2025003,CS201,82,2024-10-14
CS2025003,EE101,78,2024-11-16
CS2025003,CS101,84,2024-12-19
CS2025003,CS201,86,2025-01-14
CS2025003,EE101,88,2025-01-16
CS2025004,CS101,65,2024-09-19
CS2025004,CS201,67,2024-10-14
CS2025004,EE101,63,2024-11-16
CS2025004,CS101,69,2024-12-19
CS2025004,CS201,71,2025-01-14
CS2025004,EE101,73,2025-01-16
CS2025005,CS101,50,2024-09-19
CS2025005,CS201,52,2024-10-14
CS2025005,EE101,48,2024-11-16
CS2025005,CS101,54,2024-12-19
CS2025005,CS201,56,2025-01-14
CS2025005,EE101,58,2025-01-16
CS2025006,CS101,35,2024-09-19
CS2025006,CS201,37,2024-10-14
CS2025006,EE101,33,2024-11-16
CS2025006,CS101,39,2024-12-19
CS2025006,CS201,41,2025-01-14
CS2025006,EE101,43,2025-01-16
CS2025007,CS101,90,2024-09-19
CS2025007,CS201,92,2024-10-14
CS2025007,EE101,88,2024-11-16
CS2025007,CS101,94,2024-12-19
CS2025007,CS201,96,2025-01-14
CS2025007,EE101,98,2025-01-16
