student_id,course_code,marks_obtained,exam_date
CS2024001,CS101,85,2024-09-15
CS2024001,CS201,88,2024-10-10
CS2024001,EE101,90,2024-11-12
CS2024001,CS101,92,2024-12-15
CS2024001,CS201,95,2025-01-10
CS2024001,EE101,97,2025-01-12
CS2024002,CS101,82,2024-09-15
CS2024002,CS201,85,2024-10-10
CS2024002,EE101,87,2024-11-12
CS2024002,CS101,89,2024-12-15
CS2024002,CS201,91,2025-01-10
CS2024002,EE101,94,2025-01-12
CS2024003,CS101,70,2024-09-15
CS2024003,CS201,73,2024-10-10
CS2024003,EE101,75,2024-11-12
CS2024003,CS101,78,2024-12-15
CS2024003,CS201,80,2025-01-10
CS2024003,EE101,82,2025-01-12
CS2024004,CS101,55,2024-09-15
CS2024004,CS201,58,2024-10-10
CS2024004,EE101,60,2024-11-12
CS2024004,CS101,62,2024-12-15
CS2024004,CS201,65,2025-01-10
CS2024004,EE101,68,2025-01-12
CS2024005,CS101,35,2024-09-15
CS2024005,CS201,32,2024-10-10
CS2024005,EE101,38,2024-11-12
CS2024005,CS101,40,2024-12-15
CS2024005,CS201,42,2025-01-10
CS2024005,EE101,45,2025-01-12
